,location,total_sqft,bath,bhk
0,1st Block Jayanagar,2850.0,4.0,4
1,1st Block Jayanagar,1630.0,3.0,3
2,1st Block Jayanagar,1875.0,2.0,3
3,1st Block Jayanagar,1200.0,2.0,3
4,1st Block Jayanagar,1235.0,2.0,2
5,1st Block Jayanagar,2750.0,4.0,4
6,1st Block Jayanagar,2450.0,4.0,4
8,1st Phase JP Nagar,1875.0,3.0,3
9,1st Phase JP Nagar,1500.0,5.0,5
10,1st Phase JP Nagar,2065.0,4.0,3
12,1st Phase JP Nagar,2059.0,3.0,3
13,1st Phase JP Nagar,1394.0,2.0,2
14,1st Phase JP Nagar,1077.0,2.0,2
15,1st Phase JP Nagar,1566.0,2.0,2
16,1st Phase JP Nagar,840.0,2.0,1
17,1st Phase JP Nagar,1590.0,3.0,3
18,1st Phase JP Nagar,2180.0,3.0,3
19,1st Phase JP Nagar,1180.0,2.0,2
20,1st Phase JP Nagar,1200.0,2.0,2
21,1st Phase JP Nagar,1394.0,2.0,2
22,1st Phase JP Nagar,2077.0,3.0,3
24,1st Phase JP Nagar,1205.0,2.0,2
26,1st Phase JP Nagar,900.0,2.0,2
27,2nd Phase Judicial Layout,1450.0,2.0,3
28,2nd Phase Judicial Layout,1150.0,2.0,2
29,2nd Phase Judicial Layout,1350.0,2.0,3
30,2nd Phase Judicial Layout,1350.0,2.0,3
31,2nd Phase Judicial Layout,900.0,2.0,2
32,2nd Phase Judicial Layout,1681.0,3.0,3
33,2nd Phase Judicial Layout,1350.0,2.0,3
34,2nd Phase Judicial Layout,1150.0,2.0,2
35,2nd Stage Nagarbhavi,1500.0,4.0,4
38,2nd Stage Nagarbhavi,1350.0,4.0,4
39,2nd Stage Nagarbhavi,1200.0,4.0,4
40,2nd Stage Nagarbhavi,1500.0,3.0,4
41,5th Block Hbr Layout,1206.0,2.0,2
42,5th Block Hbr Layout,1270.0,2.0,3
43,5th Block Hbr Layout,1312.0,2.0,2
44,5th Block Hbr Layout,1100.0,2.0,2
45,5th Block Hbr Layout,3600.0,5.0,5
46,5th Block Hbr Layout,5100.0,5.0,6
47,5th Phase JP Nagar,1075.0,2.0,2
48,5th Phase JP Nagar,1150.0,3.0,2
49,5th Phase JP Nagar,1256.0,2.0,2
50,5th Phase JP Nagar,1207.0,2.0,2
51,5th Phase JP Nagar,1725.0,2.0,3
52,5th Phase JP Nagar,1440.0,2.0,2
53,5th Phase JP Nagar,1700.0,2.0,3
55,5th Phase JP Nagar,2500.0,5.0,5
56,5th Phase JP Nagar,600.0,1.0,1
57,5th Phase JP Nagar,1390.0,2.0,2
58,5th Phase JP Nagar,1256.0,2.0,2
59,5th Phase JP Nagar,1000.0,2.0,2
60,5th Phase JP Nagar,1350.0,2.0,3
61,5th Phase JP Nagar,552.0,1.0,1
62,5th Phase JP Nagar,1200.0,2.0,2
66,5th Phase JP Nagar,1030.0,2.0,2
67,5th Phase JP Nagar,1200.0,2.0,2
68,5th Phase JP Nagar,1190.0,2.0,2
69,5th Phase JP Nagar,4000.0,5.0,5
70,5th Phase JP Nagar,1080.0,2.0,2
71,5th Phase JP Nagar,1041.0,2.0,2
72,5th Phase JP Nagar,812.0,2.0,2
73,5th Phase JP Nagar,1010.0,2.0,2
75,5th Phase JP Nagar,1075.0,2.0,2
76,6th Phase JP Nagar,1192.0,2.0,2
77,6th Phase JP Nagar,1180.0,2.0,2
78,6th Phase JP Nagar,3245.0,4.0,4
79,6th Phase JP Nagar,1645.0,3.0,3
80,6th Phase JP Nagar,1140.0,2.0,2
81,6th Phase JP Nagar,2040.0,3.0,3
82,6th Phase JP Nagar,1213.0,2.0,2
83,6th Phase JP Nagar,1216.0,2.0,2
84,6th Phase JP Nagar,1460.0,2.0,2
85,6th Phase JP Nagar,2003.0,3.0,3
86,6th Phase JP Nagar,1810.0,3.0,3
87,6th Phase JP Nagar,1515.0,2.0,3
88,6th Phase JP Nagar,1192.0,2.0,2
89,6th Phase JP Nagar,1280.0,2.0,2
90,7th Phase JP Nagar,1080.0,2.0,2
91,7th Phase JP Nagar,1270.0,2.0,2
92,7th Phase JP Nagar,1420.0,2.0,3
93,7th Phase JP Nagar,1850.0,3.0,3
94,7th Phase JP Nagar,1245.0,2.0,2
95,7th Phase JP Nagar,1175.0,2.0,2
96,7th Phase JP Nagar,1400.0,2.0,3
97,7th Phase JP Nagar,2225.0,3.0,3
98,7th Phase JP Nagar,1050.0,2.0,2
99,7th Phase JP Nagar,1100.0,2.0,2
100,7th Phase JP Nagar,918.0,2.0,2
101,7th Phase JP Nagar,1450.0,2.0,3
102,7th Phase JP Nagar,1190.0,2.0,2
103,7th Phase JP Nagar,1420.0,2.0,3
